French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
